Borough,Percentage of low-paid jobs (2008),Percentage of low-paid jobs (2009),Percentage of low-paid jobs (2010),Percentage of low-paid jobs (2011),Percentage of low-paid jobs (2012),Percentage of low-paid jobs (2013),Percentage of low-paid jobs (2014),Percentage of low-paid jobs (2015),Percentage of low-paid jobs (2016),Percentage of low-paid jobs (2017),Percentage of low-paid jobs (2018),Percentage of low-paid jobs (2019),Percentage of low-paid jobs (2020),Percentage of low-paid jobs (2021),Percentage of low-paid jobs (2022),Percentage of low-paid jobs (2023),Percentage of low-paid jobs (2024),Number of low-paid jobs (2008),Number of low-paid jobs (2009),Number of low-paid jobs (2010),Number of low-paid jobs (2011),Number of low-paid jobs (2012),Number of low-paid jobs (2013),Number of low-paid jobs (2014),Number of low-paid jobs (2015),Number of low-paid jobs (2016),Number of low-paid jobs (2017),Number of low-paid jobs (2018),Number of low-paid jobs (2019),Number of low-paid jobs (2020),Number of low-paid jobs (2021),Number of low-paid jobs (2022),Number of low-paid jobs (2023),Number of low-paid jobs (2024)
Barking and Dagenham,17.3,17.6,19.5,21.5,23.3,26.2,27.7,29.5,32.5,31.4,30.4,31.0,32.3,26.2,19.6,23.7,23.8,8827.0,8610.0,9745.0,11165.0,12119.0,14650.0,15805.0,17092.0,18551.0,19784.0,18568.0,20491.0,18757.0,15982.0,12559.0,15616.0,16658.0
Barnet,13.6,12.3,13.1,14.8,17.8,18.0,22.3,24.3,23.9,21.8,23.8,23.6,23.5,19.0,13.8,17.6,17.6,14949.0,13089.0,14324.0,16098.0,19059.0,21117.0,27215.0,30078.0,28433.0,27014.0,32846.0,31917.0,33171.0,25394.0,17373.0,23183.0,25895.0
Bexley,14.3,14.4,15.1,16.5,19.6,22.2,21.9,22.7,23.1,23.1,25.6,23.5,24.0,21.0,16.2,16.2,20.0,13054.0,12956.0,14084.0,15043.0,17652.0,20832.0,21029.0,23112.0,22214.0,21680.0,24596.0,23067.0,22828.0,19555.0,16315.0,14914.0,19400.0
Brent,20.1,21.7,22.8,28.2,27.8,30.3,31.4,31.5,32.1,31.0,31.5,29.1,28.1,26.6,24.8,21.9,25.2,20751.0,22100.0,24388.0,31012.0,29496.0,33324.0,36121.0,38685.0,40485.0,37552.0,38146.0,34974.0,29781.0,30843.0,29453.0,28062.0,29948.0
Bromley,10.3,10.6,12.8,12.5,13.0,14.0,16.0,15.7,16.2,17.8,17.6,16.6,18.4,16.8,12.9,13.5,11.2,12510.0,12374.0,14677.0,14420.0,14326.0,16346.0,19385.0,19423.0,21203.0,24914.0,24608.0,22722.0,23138.0,22701.0,16546.0,16905.0,14735.0
Camden,10.8,10.1,11.9,11.0,12.5,13.4,17.9,18.9,15.1,16.2,19.6,16.3,17.2,14.1,11.0,11.4,10.5,7880.0,7578.0,8961.0,8339.0,9647.0,10193.0,12904.0,14350.0,12104.0,13284.0,15718.0,13366.0,12592.0,9871.0,7493.0,7858.0,8916.0
Croydon,15.8,14.3,13.5,17.7,18.2,21.4,22.2,24.4,21.8,22.1,23.5,22.4,23.2,20.2,16.6,15.4,17.6,20517.0,18490.0,18129.0,24119.0,25256.0,29559.0,30798.0,34659.0,31546.0,33182.0,34098.0,36056.0,33238.0,30525.0,24685.0,24817.0,29488.0
Ealing,15.3,15.1,15.2,19.3,21.8,22.8,22.8,25.7,24.2,27.1,26.2,26.1,23.6,22.1,18.8,19.5,20.3,18955.0,17962.0,19149.0,22813.0,25670.0,29832.0,30571.0,36014.0,32858.0,37693.0,35892.0,35721.0,31681.0,31630.0,24750.0,27105.0,27791.0
Enfield,17.0,16.0,17.9,17.0,21.9,22.9,27.5,28.0,29.2,29.3,34.4,30.8,29.0,26.3,21.0,22.1,21.4,16870.0,16207.0,18214.0,16844.0,21290.0,25245.0,28010.0,32165.0,31264.0,31899.0,37459.0,34539.0,31602.0,28137.0,22700.0,24095.0,25295.0
Greenwich,13.8,13.0,13.7,17.0,20.3,19.5,21.1,24.3,20.6,19.3,21.0,20.2,23.6,19.0,16.5,13.8,18.8,11867.0,10029.0,11962.0,15091.0,18225.0,18673.0,19789.0,24333.0,19761.0,19465.0,23940.0,21040.0,24297.0,18968.0,16541.0,14752.0,21797.0
Hackney,17.6,15.5,16.1,19.6,21.4,20.0,21.3,23.4,20.9,20.0,22.2,21.5,20.1,21.2,17.0,16.4,16.0,12468.0,10973.0,12412.0,15911.0,17959.0,17200.0,18990.0,22256.0,20932.0,20800.0,21977.0,22794.0,19915.0,20976.0,16533.0,16747.0,17554.0
Hammersmith and Fulham,9.3,11.2,11.1,11.5,11.9,12.7,15.8,14.1,11.7,14.5,17.2,12.8,12.4,11.5,10.1,9.8,10.7,5790.0,7084.0,7133.0,7102.0,7864.0,8406.0,11073.0,10415.0,8411.0,11345.0,14086.0,10508.0,9674.0,8764.0,7804.0,6983.0,8257.0
Haringey,14.7,14.7,16.2,18.7,21.6,23.8,28.1,26.7,26.4,23.4,26.1,25.9,25.0,24.4,18.7,19.6,18.5,11794.0,12365.0,13296.0,15375.0,17916.0,21700.0,26410.0,25867.0,26131.0,22951.0,27709.0,27444.0,25974.0,22917.0,17026.0,18773.0,18322.0
Harrow,16.9,12.7,15.2,18.3,20.7,20.1,21.8,22.3,21.7,24.6,26.2,22.2,22.3,22.1,19.9,19.6,22.5,13649.0,10813.0,13234.0,15537.0,17773.0,17113.0,19177.0,19823.0,19735.0,21623.0,24616.0,20679.0,20501.0,19669.0,18115.0,17037.0,22083.0
Havering,12.2,12.7,13.5,13.1,17.8,18.9,20.9,21.0,19.2,21.8,22.8,23.2,19.8,20.6,17.0,15.7,16.1,11571.0,11946.0,13095.0,11381.0,15876.0,17554.0,19427.0,20381.0,18279.0,20271.0,22391.0,22752.0,18427.0,20155.0,16106.0,14614.0,15455.0
Hillingdon,14.7,13.4,14.4,16.2,18.8,19.8,23.3,22.4,23.8,21.8,25.9,26.7,23.9,18.2,16.4,16.8,21.5,15681.0,13890.0,15022.0,16048.0,18985.0,20770.0,25127.0,24403.0,26187.0,24582.0,28492.0,28267.0,26238.0,21500.0,17523.0,18652.0,24468.0
Hounslow,16.3,16.7,16.2,19.4,24.6,22.6,25.8,25.1,25.1,25.1,27.5,28.5,24.8,22.9,20.0,19.2,22.9,16336.0,16023.0,15909.0,19250.0,24109.0,23501.0,26067.0,25863.0,27324.0,27128.0,29700.0,29666.0,25287.0,22857.0,21800.0,21146.0,25612.0
Islington,8.4,8.6,8.9,8.9,11.9,11.9,13.2,15.2,12.0,13.5,13.3,14.5,15.0,12.2,10.0,11.0,10.0,6354.0,6519.0,7117.0,6913.0,10085.0,10853.0,11524.0,14109.0,10837.0,12420.0,12800.0,15205.0,12791.0,10970.0,8600.0,9809.0,9400.0
Kensington and Chelsea,7.6,8.9,8.7,8.5,12.9,9.5,16.8,15.7,15.8,11.9,16.0,15.4,16.0,10.3,11.4,10.0,10.4,3517.0,3929.0,3380.0,4091.0,5424.0,4177.0,7237.0,6609.0,6793.0,5375.0,6580.0,6311.0,7364.0,4313.0,5029.0,3989.0,4358.0
Kingston upon Thames,10.0,10.8,9.5,9.8,11.9,15.3,16.4,16.9,18.2,20.7,20.2,18.4,17.1,18.6,17.9,14.2,18.8,6682.0,6774.0,5812.0,6252.0,7604.0,9943.0,11012.0,11330.0,12402.0,13839.0,13122.0,12715.0,12302.0,13598.0,12556.0,9688.0,12206.0
Lambeth,16.3,15.2,12.8,17.1,16.1,18.8,21.2,19.0,19.7,16.6,19.8,20.0,17.3,14.7,11.8,10.1,10.6,18798.0,16424.0,14326.0,20208.0,18178.0,23102.0,27805.0,24890.0,26440.0,23690.0,27940.0,28800.0,22980.0,19758.0,16136.0,14184.0,14258.0
Lewisham,16.8,15.6,13.8,18.9,17.5,19.1,22.0,22.0,20.4,21.3,21.3,22.6,21.0,20.2,15.6,16.1,17.3,16501.0,13094.0,13409.0,19456.0,17518.0,20791.0,24653.0,23803.0,24938.0,26174.0,26880.0,28018.0,23769.0,23224.0,18550.0,19978.0,22872.0
Merton,9.9,13.7,13.0,13.8,16.2,18.3,18.2,20.8,17.7,20.0,21.0,21.2,21.2,19.3,20.0,12.9,13.0,7758.0,10665.0,10682.0,11177.0,13432.0,15199.0,15068.0,18555.0,15742.0,18200.0,19516.0,19690.0,17556.0,15994.0,17000.0,11332.0,11687.0
Newham,22.4,23.9,25.1,32.3,34.6,35.0,35.2,36.2,34.8,31.5,31.6,30.1,26.3,22.0,21.3,19.5,23.5,18617.0,19820.0,21575.0,31009.0,33883.0,35743.0,35908.0,37607.0,37952.0,35927.0,36032.0,36069.0,29195.0,25504.0,27200.0,23400.0,34272.0
Redbridge,9.8,13.4,14.4,15.1,19.8,20.1,20.6,20.0,19.3,20.9,23.8,23.6,23.3,22.4,20.5,19.3,22.6,8319.0,11098.0,12410.0,13776.0,17659.0,18453.0,18738.0,17800.0,18560.0,19222.0,20924.0,22651.0,21217.0,20352.0,19266.0,18877.0,24907.0
Richmond upon Thames,7.6,8.0,8.7,9.3,9.7,9.8,11.7,13.0,11.0,10.5,11.4,12.2,11.1,11.5,10.0,11.2,13.2,5827.0,5864.0,6413.0,6955.0,6489.0,6734.0,8628.0,8960.0,7896.0,6910.0,7946.0,9296.0,8778.0,8388.0,6789.0,7257.0,9358.0
Southwark,15.1,17.3,16.7,17.1,19.6,20.9,21.8,21.0,20.1,17.7,20.0,18.2,20.2,14.3,13.0,15.1,11.5,15273.0,17423.0,18378.0,19714.0,22679.0,26518.0,27444.0,24598.0,24874.0,22593.0,25600.0,25310.0,25694.0,18494.0,17235.0,19769.0,16704.0
Sutton,10.1,11.8,13.1,13.9,14.4,15.0,19.2,21.0,20.1,20.9,21.3,22.2,22.4,18.6,18.0,16.9,16.4,7591.0,8867.0,9680.0,10321.0,10936.0,12150.0,14776.0,16389.0,16489.0,17359.0,17479.0,17734.0,16776.0,16217.0,14184.0,12653.0,13797.0
Tower Hamlets,12.0,13.1,12.4,16.7,17.2,18.4,20.0,20.7,20.0,19.6,19.4,16.2,18.7,15.2,12.1,9.9,15.1,10210.0,11144.0,10075.0,15667.0,15801.0,18998.0,21600.0,22316.0,22600.0,24077.0,24095.0,22318.0,22960.0,18112.0,15660.0,13406.0,20063.0
Waltham Forest,16.5,19.1,18.0,22.0,24.3,26.7,27.0,29.1,26.0,27.9,29.0,25.7,22.5,17.4,16.7,16.7,18.2,13986.0,16418.0,16340.0,18515.0,20867.0,25867.0,26414.0,30217.0,26217.0,29807.0,29897.0,26756.0,22069.0,17014.0,17384.0,17167.0,19091.0
