Borough,Percentage of low-paid jobs (Female),Percentage of low-paid jobs (Male),Number of low-paid jobs (Female),Number of low-paid jobs (Male)
Barking and Dagenham,24.8,22.9,9691.0,7108.0
Barnet,18.7,15.7,15159.0,10345.0
Bexley,21.3,16.7,10849.0,7676.0
Brent,27.5,22.7,17034.0,12912.0
Bromley,13.4,9.7,8971.0,6300.0
Camden,11.1,10.9,5000.0,4349.0
Croydon,19.4,14.5,17450.0,11273.0
Ealing,22.4,18.7,15688.0,12544.0
Enfield,21.5,22.1,12470.0,13021.0
Greenwich,19.9,16.5,11151.0,9908.0
Hackney,18.5,15.0,10372.0,8224.0
Hammersmith and Fulham,11.1,10.1,4212.0,3933.0
Haringey,20.0,17.6,10200.0,8440.0
Harrow,27.1,20.1,14618.0,8862.0
Havering,20.8,12.9,10622.0,5799.0
Hillingdon,22.8,19.8,12515.0,11463.0
Hounslow,26.3,20.1,14706.0,11470.0
Islington,10.4,9.8,5504.0,4013.0
Kensington and Chelsea,10.5,10.9,2425.0,2079.0
Kingston upon Thames,25.1,11.8,8790.0,3649.0
Lambeth,11.1,10.2,7663.0,6703.0
Lewisham,17.7,16.8,12934.0,9929.0
Merton,16.1,11.4,7557.0,4772.0
Newham,28.4,20.3,20719.0,14850.0
Redbridge,29.5,18.1,15057.0,10694.0
Richmond upon Thames,15.4,12.1,5702.0,4121.0
Southwark,14.0,10.4,10889.0,6963.0
Sutton,21.6,11.9,9053.0,4986.0
Tower Hamlets,16.4,13.8,10309.0,9692.0
Waltham Forest,21.5,14.5,9662.0,8701.0
Wandsworth,11.3,8.8,8394.0,5697.0
Westminster,9.8,11.7,3439.0,4461.0
