"Proportion of borough residents' jobs that are paid below London Living Wage (2024)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Borough","Percentage of low-paid jobs (2008)","Percentage of low-paid jobs (2009)","Percentage of low-paid jobs (2010)","Percentage of low-paid jobs (2011)","Percentage of low-paid jobs (2012)","Percentage of low-paid jobs (2013)","Percentage of low-paid jobs (2014)","Percentage of low-paid jobs (2015)","Percentage of low-paid jobs (2016)","Percentage of low-paid jobs (2017)","Percentage of low-paid jobs (2018)","Percentage of low-paid jobs (2019)","Percentage of low-paid jobs (2020)","Percentage of low-paid jobs (2021)","Percentage of low-paid jobs (2022)","Percentage of low-paid jobs (2023)","Percentage of low-paid jobs (2024)","Number of low-paid jobs (2008)","Number of low-paid jobs (2009)","Number of low-paid jobs (2010)","Number of low-paid jobs (2011)","Number of low-paid jobs (2012)","Number of low-paid jobs (2013)","Number of low-paid jobs (2014)","Number of low-paid jobs (2015)","Number of low-paid jobs (2016)","Number of low-paid jobs (2017)","Number of low-paid jobs (2018)","Number of low-paid jobs (2019)","Number of low-paid jobs (2020)","Number of low-paid jobs (2021)","Number of low-paid jobs (2022)","Number of low-paid jobs (2023)","Number of low-paid jobs (2024)"
"Barking and Dagenham","17.3","17.6","19.5","21.5","23.3","26.2","27.7","29.5","32.5","31.4","30.4","31","32.3","26.2","19.6","23.7","23.8","8827","8610","9745","11165","12119","14650","15805","17092","18551","19784","18568","20491","18757","15982","12559","15616","16658"
"Barnet","13.6","12.3","13.1","14.8","17.8","18","22.3","24.3","23.9","21.8","23.8","23.6","23.5","19","13.8","17.6","17.6","14949","13089","14324","16098","19059","21117","27215","30078","28433","27014","32846","31917","33171","25394","17373","23183","25895"
"Bexley","14.3","14.4","15.1","16.5","19.6","22.2","21.9","22.7","23.1","23.1","25.6","23.5","24","21","16.2","16.2","20","13054","12956","14084","15043","17652","20832","21029","23112","22214","21680","24596","23067","22828","19555","16315","14914","19400"
"Brent","20.1","21.7","22.8","28.2","27.8","30.3","31.4","31.5","32.1","31","31.5","29.1","28.1","26.6","24.8","21.9","25.2","20751","22100","24388","31012","29496","33324","36121","38685","40485","37552","38146","34974","29781","30843","29453","28062","29948"
"Bromley","10.3","10.6","12.8","12.5","13","14","16","15.7","16.2","17.8","17.6","16.6","18.4","16.8","12.9","13.5","11.2","12510","12374","14677","14420","14326","16346","19385","19423","21203","24914","24608","22722","23138","22701","16546","16905","14735"
"Camden","10.8","10.1","11.9","11","12.5","13.4","17.9","18.9","15.1","16.2","19.6","16.3","17.2","14.1","11","11.4","10.5","7880","7578","8961","8339","9647","10193","12904","14350","12104","13284","15718","13366","12592","9871","7493","7858","8916"
"City of London","2.7","4.6","4.1","4.2","3.9",NA,NA,"7.7","4.7","2.9","3.2",NA,NA,NA,"4.3","9.4","4",NA,"731","204","212","193",NA,NA,"461",NA,"174","193",NA,NA,NA,NA,NA,NA
"Croydon","15.8","14.3","13.5","17.7","18.2","21.4","22.2","24.4","21.8","22.1","23.5","22.4","23.2","20.2","16.6","15.4","17.6","20517","18490","18129","24119","25256","29559","30798","34659","31546","33182","34098","36056","33238","30525","24685","24817","29488"
"Ealing","15.3","15.1","15.2","19.3","21.8","22.8","22.8","25.7","24.2","27.1","26.2","26.1","23.6","22.1","18.8","19.5","20.3","18955","17962","19149","22813","25670","29832","30571","36014","32858","37693","35892","35721","31681","31630","24750","27105","27791"
"Enfield","17","16","17.9","17","21.9","22.9","27.5","28","29.2","29.3","34.4","30.8","29","26.3","21","22.1","21.4","16870","16207","18214","16844","21290","25245","28010","32165","31264","31899","37459","34539","31602","28137","22700","24095","25295"
